family,model,layer,head,delta_ioi,delta_anti,n_layers,relative_layer
pythia,pythia-70m,0,7,-0.4192270562052727,0.0,13,0.038461538461538464
pythia,pythia-70m,1,1,-0.1617247760295868,0.0,13,0.11538461538461539
pythia,pythia-70m,1,3,-0.284780777990818,0.0,13,0.11538461538461539
pythia,pythia-70m,2,1,-0.2035295367240905,0.0,13,0.19230769230769232
pythia,pythia-70m,2,6,-0.1814760267734527,0.0,13,0.19230769230769232
pythia,pythia-70m,2,7,-0.6693404316902161,0.0,13,0.19230769230769232
pythia,pythia-70m,4,6,-0.1626542508602142,-0.2139435410499572,13,0.34615384615384615
pythia,pythia-160m,0,0,-1.4348183870315552,0.0,13,0.038461538461538464
pythia,pythia-160m,0,1,-0.2275344133377075,0.0,13,0.038461538461538464
pythia,pythia-160m,0,2,-0.8137136697769165,0.0,13,0.038461538461538464
pythia,pythia-160m,0,3,-1.0505050420761108,0.0,13,0.038461538461538464
pythia,pythia-160m,0,5,-0.3447052240371704,-0.1476923823356628,13,0.038461538461538464
pythia,pythia-160m,0,8,-0.6634434461593628,0.0,13,0.038461538461538464
pythia,pythia-160m,1,0,-0.2315515279769897,-0.1724777817726135,13,0.11538461538461539
pythia,pythia-160m,1,6,-0.4594606161117553,0.0,13,0.11538461538461539
pythia,pythia-160m,1,8,-0.3032552003860473,0.0,13,0.11538461538461539
pythia,pythia-160m,1,9,-1.430188775062561,0.0,13,0.11538461538461539
pythia,pythia-160m,2,0,-0.3407777547836303,0.0,13,0.19230769230769232
pythia,pythia-160m,2,1,-0.3408631086349487,0.0,13,0.19230769230769232
pythia,pythia-160m,2,4,-0.6334210634231567,-0.0895041227340698,13,0.19230769230769232
pythia,pythia-160m,2,6,-1.055655837059021,0.0,13,0.19230769230769232
pythia,pythia-160m,2,11,-1.0247987508773804,0.0,13,0.19230769230769232
pythia,pythia-160m,3,0,-1.8286436796188352,0.0,13,0.2692307692307692
pythia,pythia-160m,3,4,-0.6635006666183472,-0.1482321619987487,13,0.2692307692307692
pythia,pythia-160m,4,6,-0.8135761022567749,-0.2139435410499572,13,0.34615384615384615
pythia,pythia-160m,4,8,-0.7491799592971802,0.0,13,0.34615384615384615
pythia,pythia-160m,4,11,-0.973591923713684,0.0,13,0.34615384615384615
pythia,pythia-160m,5,3,-0.1726235151290893,0.0,13,0.4230769230769231
pythia,pythia-160m,5,4,-0.1740866899490356,0.0,13,0.4230769230769231
pythia,pythia-160m,5,8,-0.6894339323043823,0.0,13,0.4230769230769231
pythia,pythia-160m,5,10,-0.3407117128372192,0.0,13,0.4230769230769231
pythia,pythia-160m,6,6,-0.8683630228042603,0.0,13,0.5
pythia,pythia-160m,6,9,-0.3189812898635864,0.0,13,0.5
pythia,pythia-160m,7,3,-0.4725011587142944,0.0,13,0.5769230769230769
pythia,pythia-160m,7,9,-0.190393328666687,0.0,13,0.5769230769230769
pythia,pythia-160m,9,5,-0.3323298692703247,0.0,13,0.7307692307692307
pythia,pythia-160m,9,10,-0.1665848493576049,0.0,13,0.7307692307692307
pythia,pythia-410m,0,3,-0.2027997970581054,0.0,18,0.027777777777777776
pythia,pythia-410m,0,11,-0.4311950206756592,0.0,18,0.027777777777777776
pythia,pythia-410m,4,2,-0.3276699781417846,0.0,18,0.25
