base_family,base_model,tgt_family,tgt_model,layer,head,base_abs_delta_ioi,tgt_abs_delta_ioi,tgt_rank,tgt_frac_rank,missing_in_target_index
pythia,pythia-70m,pythia,pythia-160m,2,7,0.6693404316902161,0.1368194818496704,30.0,0.4189189189189189,False
pythia,pythia-70m,pythia,pythia-160m,0,7,0.4192270562052727,,,,True
pythia,pythia-70m,pythia,pythia-160m,1,3,0.284780777990818,,,,True
pythia,pythia-70m,pythia,pythia-160m,2,1,0.2035295367240905,0.3408631086349487,18.0,0.25675675675675674,False
pythia,pythia-70m,pythia,pythia-160m,2,6,0.1814760267734527,1.055655837059021,3.0,0.05405405405405406,False
pythia,pythia-70m,pythia,pythia-160m,4,6,0.1626542508602142,0.8135761022567749,9.0,0.13513513513513514,False
pythia,pythia-70m,pythia,pythia-160m,1,1,0.1617247760295868,,,,True
pythia,pythia-70m,pythia,pythia-160m,0,5,0.139420598745346,0.3447052240371704,17.0,0.24324324324324326,False
pythia,pythia-70m,pythia,pythia-160m,0,4,0.1390579342842102,0.0,44.0,0.6081081081081081,False
pythia,pythia-70m,pythia,pythia-160m,3,1,0.116517350077629,,,,True
pythia,pythia-70m,pythia,pythia-160m,0,1,0.1038367301225662,0.2275344133377075,25.0,0.35135135135135137,False
pythia,pythia-70m,pythia,pythia-160m,3,7,0.0860363394021987,,,,True
pythia,pythia-70m,pythia,pythia-160m,4,0,0.079230785369873,0.0,65.0,0.8918918918918919,False
pythia,pythia-70m,pythia,pythia-160m,1,2,0.0669267475605011,0.0,55.0,0.7567567567567568,False
pythia,pythia-70m,pythia,pythia-160m,1,7,0.0659594982862472,,,,True
pythia,pythia-70m,pythia,pythia-160m,3,6,0.0653501898050308,0.0,67.0,0.918918918918919,False
pythia,pythia-70m,pythia,pythia-160m,3,3,0.063148632645607,,,,True
pythia,pythia-70m,pythia,pythia-160m,5,7,0.0619942247867584,0.0,62.0,0.8513513513513513,False
pythia,pythia-70m,pythia,pythia-160m,5,1,0.0604160130023956,0.0,40.0,0.5540540540540541,False
pythia,pythia-70m,pythia,pythia-160m,3,2,0.0578659772872924,,,,True
pythia,pythia-160m,pythia,pythia-410m,3,0,1.8286436796188352,,,,True
pythia,pythia-160m,pythia,pythia-410m,0,0,1.4348183870315552,,,,True
pythia,pythia-160m,pythia,pythia-410m,1,9,1.430188775062561,,,,True
pythia,pythia-160m,pythia,pythia-410m,2,6,1.055655837059021,,,,True
pythia,pythia-160m,pythia,pythia-410m,0,3,1.0505050420761108,0.2027997970581054,11.0,0.17391304347826086,False
pythia,pythia-160m,pythia,pythia-410m,2,11,1.0247987508773804,,,,True
pythia,pythia-160m,pythia,pythia-410m,4,11,0.973591923713684,0.115308403968811,28.0,0.42028985507246375,False
pythia,pythia-160m,pythia,pythia-410m,6,6,0.8683630228042603,,,,True
pythia,pythia-160m,pythia,pythia-410m,0,2,0.8137136697769165,,,,True
pythia,pythia-160m,pythia,pythia-410m,4,6,0.8135761022567749,0.2292877435684204,8.0,0.13043478260869565,False
pythia,pythia-160m,pythia,pythia-410m,4,8,0.7491799592971802,,,,True
pythia,pythia-160m,pythia,pythia-410m,5,8,0.6894339323043823,,,,True
pythia,pythia-160m,pythia,pythia-410m,3,4,0.6635006666183472,0.0980308055877685,38.0,0.5652173913043478,False
pythia,pythia-160m,pythia,pythia-410m,0,8,0.6634434461593628,,,,True
pythia,pythia-160m,pythia,pythia-410m,2,4,0.6334210634231567,0.0,44.0,0.6521739130434783,False
pythia,pythia-160m,pythia,pythia-410m,7,3,0.4725011587142944,,,,True
pythia,pythia-160m,pythia,pythia-410m,1,6,0.4594606161117553,,,,True
pythia,pythia-160m,pythia,pythia-410m,0,5,0.3447052240371704,0.0,40.0,0.5942028985507246,False
pythia,pythia-160m,pythia,pythia-410m,2,1,0.3408631086349487,0.1022953987121582,37.0,0.5507246376811594,False
pythia,pythia-160m,pythia,pythia-410m,2,0,0.3407777547836303,,,,True
pythia,pythia-410m,pythia,pythia-1b,5,2,0.6198322772979736,,,,True
pythia,pythia-410m,pythia,pythia-1b,0,11,0.4311950206756592,,,,True
pythia,pythia-410m,pythia,pythia-1b,12,12,0.3889616727828979,,,,True
pythia,pythia-410m,pythia,pythia-1b,10,7,0.3460824489593506,0.0,48.0,0.8166666666666667,False
pythia,pythia-410m,pythia,pythia-1b,5,13,0.338462233543396,,,,True
pythia,pythia-410m,pythia,pythia-1b,4,2,0.3276699781417846,,,,True
pythia,pythia-410m,pythia,pythia-1b,4,13,0.2598797082901001,,,,True
pythia,pythia-410m,pythia,pythia-1b,15,11,0.2432583570480346,,,,True
pythia,pythia-410m,pythia,pythia-1b,4,6,0.2292877435684204,0.0,52.0,0.8833333333333333,False
pythia,pythia-410m,pythia,pythia-1b,12,1,0.2198706865310669,0.0,43.0,0.7333333333333333,False
pythia,pythia-410m,pythia,pythia-1b,11,3,0.212782621383667,0.0,46.0,0.7833333333333333,False
pythia,pythia-410m,pythia,pythia-1b,0,3,0.2027997970581054,0.1090204417705535,33.0,0.5666666666666667,False
pythia,pythia-410m,pythia,pythia-1b,15,2,0.1909528970718383,,,,True
pythia,pythia-410m,pythia,pythia-1b,9,1,0.1827338933944702,0.0943565666675567,36.0,0.6166666666666667,False
pythia,pythia-410m,pythia,pythia-1b,8,2,0.1739534139633178,,,,True
pythia,pythia-410m,pythia,pythia-1b,10,0,0.1701120138168335,0.0,53.0,0.9,False
pythia,pythia-410m,pythia,pythia-1b,8,6,0.1565133333206176,,,,True
pythia,pythia-410m,pythia,pythia-1b,11,5,0.1508247852325439,,,,True
pythia,pythia-410m,pythia,pythia-1b,9,11,0.1499397754669189,,,,True
pythia,pythia-410m,pythia,pythia-1b,14,4,0.149582028388977,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,3,0,1.8286436796188352,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,0,0,1.4348183870315552,0.2701974660158157,13.0,0.6086956521739131,False
pythia,pythia-160m,gpt-neo,gpt-neo-125M,1,9,1.430188775062561,0.2093732059001922,16.0,0.7391304347826086,False
pythia,pythia-160m,gpt-neo,gpt-neo-125M,2,6,1.055655837059021,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,0,3,1.0505050420761108,0.2669998705387115,14.0,0.6521739130434783,False
pythia,pythia-160m,gpt-neo,gpt-neo-125M,2,11,1.0247987508773804,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,4,11,0.973591923713684,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,6,6,0.8683630228042603,0.6230132877826691,5.0,0.2608695652173913,False
pythia,pythia-160m,gpt-neo,gpt-neo-125M,0,2,0.8137136697769165,0.0,21.0,0.9565217391304348,False
pythia,pythia-160m,gpt-neo,gpt-neo-125M,4,6,0.8135761022567749,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,4,8,0.7491799592971802,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,5,8,0.6894339323043823,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,3,4,0.6635006666183472,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,0,8,0.6634434461593628,0.444309962913394,7.0,0.34782608695652173,False
pythia,pythia-160m,gpt-neo,gpt-neo-125M,2,4,0.6334210634231567,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,7,3,0.4725011587142944,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,1,6,0.4594606161117553,0.3131037652492523,10.0,0.4782608695652174,False
pythia,pythia-160m,gpt-neo,gpt-neo-125M,0,5,0.3447052240371704,0.5856923460960388,6.0,0.30434782608695654,False
pythia,pythia-160m,gpt-neo,gpt-neo-125M,2,1,0.3408631086349487,,,,True
pythia,pythia-160m,gpt-neo,gpt-neo-125M,2,0,0.3407777547836303,,,,True
pythia,pythia-160m,opt,opt-125m,3,0,1.8286436796188352,,,,True
pythia,pythia-160m,opt,opt-125m,0,0,1.4348183870315552,,,,True
pythia,pythia-160m,opt,opt-125m,1,9,1.430188775062561,0.093041330575943,14.0,0.5172413793103449,False
pythia,pythia-160m,opt,opt-125m,2,6,1.055655837059021,,,,True
pythia,pythia-160m,opt,opt-125m,0,3,1.0505050420761108,0.0832815766334533,18.0,0.6551724137931034,False
pythia,pythia-160m,opt,opt-125m,2,11,1.0247987508773804,,,,True
pythia,pythia-160m,opt,opt-125m,4,11,0.973591923713684,,,,True
pythia,pythia-160m,opt,opt-125m,6,6,0.8683630228042603,,,,True
pythia,pythia-160m,opt,opt-125m,0,2,0.8137136697769165,,,,True
pythia,pythia-160m,opt,opt-125m,4,6,0.8135761022567749,,,,True
pythia,pythia-160m,opt,opt-125m,4,8,0.7491799592971802,,,,True
pythia,pythia-160m,opt,opt-125m,5,8,0.6894339323043823,,,,True
pythia,pythia-160m,opt,opt-125m,3,4,0.6635006666183472,,,,True
pythia,pythia-160m,opt,opt-125m,0,8,0.6634434461593628,,,,True
pythia,pythia-160m,opt,opt-125m,2,4,0.6334210634231567,,,,True
pythia,pythia-160m,opt,opt-125m,7,3,0.4725011587142944,,,,True
pythia,pythia-160m,opt,opt-125m,1,6,0.4594606161117553,,,,True
pythia,pythia-160m,opt,opt-125m,0,5,0.3447052240371704,0.0,26.0,0.9310344827586207,False
pythia,pythia-160m,opt,opt-125m,2,1,0.3408631086349487,,,,True
pythia,pythia-160m,opt,opt-125m,2,0,0.3407777547836303,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,5,2,0.6198322772979736,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,0,11,0.4311950206756592,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,12,12,0.3889616727828979,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,10,7,0.3460824489593506,0.0257779359817504,3.0,0.06666666666666667,False
pythia,pythia-410m,gpt2,gpt2-medium,5,13,0.338462233543396,0.0093109607696533,29.0,0.5,False
pythia,pythia-410m,gpt2,gpt2-medium,4,2,0.3276699781417846,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,4,13,0.2598797082901001,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,15,11,0.2432583570480346,0.010797381401062,23.0,0.4,False
pythia,pythia-410m,gpt2,gpt2-medium,4,6,0.2292877435684204,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,12,1,0.2198706865310669,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,11,3,0.212782621383667,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,0,3,0.2027997970581054,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,15,2,0.1909528970718383,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,9,1,0.1827338933944702,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,8,2,0.1739534139633178,,,,True
pythia,pythia-410m,gpt2,gpt2-medium,10,0,0.1701120138168335,0.0,57.0,0.9666666666666667,False
