layer,head,base_family,base_model,base_delta_ioi,base_abs_delta_ioi,base_category,target_family,target_model,target_delta_ioi,target_abs_delta_ioi,target_category
5,2,pythia,pythia-410m,-0.6198322772979736,0.6198322772979736,ioi_only,gpt2,gpt2-medium,,,
0,11,pythia,pythia-410m,-0.4311950206756592,0.4311950206756592,ioi_only,gpt2,gpt2-medium,,,
12,12,pythia,pythia-410m,-0.3889616727828979,0.3889616727828979,ioi_only,gpt2,gpt2-medium,,,
10,7,pythia,pythia-410m,-0.3460824489593506,0.3460824489593506,ioi_only,gpt2,gpt2-medium,-0.0257779359817504,0.0257779359817504,weak
5,13,pythia,pythia-410m,-0.338462233543396,0.338462233543396,ioi_only,gpt2,gpt2-medium,-0.0093109607696533,0.0093109607696533,weak
4,2,pythia,pythia-410m,-0.3276699781417846,0.3276699781417846,ioi_only,gpt2,gpt2-medium,,,
4,13,pythia,pythia-410m,-0.2598797082901001,0.2598797082901001,ioi_only,gpt2,gpt2-medium,,,
15,11,pythia,pythia-410m,-0.2432583570480346,0.2432583570480346,ioi_only,gpt2,gpt2-medium,-0.010797381401062,0.010797381401062,weak
4,6,pythia,pythia-410m,-0.2292877435684204,0.2292877435684204,shared,gpt2,gpt2-medium,,,
12,1,pythia,pythia-410m,-0.2198706865310669,0.2198706865310669,shared,gpt2,gpt2-medium,,,
11,3,pythia,pythia-410m,-0.212782621383667,0.212782621383667,ioi_only,gpt2,gpt2-medium,,,
0,3,pythia,pythia-410m,-0.2027997970581054,0.2027997970581054,ioi_only,gpt2,gpt2-medium,,,
15,2,pythia,pythia-410m,-0.1909528970718383,0.1909528970718383,ioi_only,gpt2,gpt2-medium,,,
9,1,pythia,pythia-410m,-0.1827338933944702,0.1827338933944702,ioi_only,gpt2,gpt2-medium,,,
8,2,pythia,pythia-410m,-0.1739534139633178,0.1739534139633178,ioi_only,gpt2,gpt2-medium,,,
10,0,pythia,pythia-410m,-0.1701120138168335,0.1701120138168335,ioi_only,gpt2,gpt2-medium,0.0,0.0,weak
8,6,pythia,pythia-410m,-0.1565133333206176,0.1565133333206176,ioi_only,gpt2,gpt2-medium,0.0,0.0,weak
11,5,pythia,pythia-410m,-0.1508247852325439,0.1508247852325439,ioi_only,gpt2,gpt2-medium,,,
9,11,pythia,pythia-410m,-0.1499397754669189,0.1499397754669189,ioi_only,gpt2,gpt2-medium,,,
14,4,pythia,pythia-410m,-0.149582028388977,0.149582028388977,ioi_only,gpt2,gpt2-medium,,,
