family,model,layer,head,delta_ioi,delta_anti
pythia,pythia-70m,0,1,-0.10383673012256622,0.0
pythia,pythia-70m,0,4,-0.1390579342842102,-0.3513792157173157
pythia,pythia-70m,0,5,-0.13942059874534607,-0.14769238233566284
pythia,pythia-70m,0,7,-0.4192270562052727,0.0
pythia,pythia-70m,1,0,0.03471425175666809,-0.17247778177261353
pythia,pythia-70m,1,1,-0.1617247760295868,0.0
pythia,pythia-70m,1,2,-0.0669267475605011,-0.07461899518966675
pythia,pythia-70m,1,3,-0.284780777990818,0.0
pythia,pythia-70m,1,4,-0.028235286474227905,0.0
pythia,pythia-70m,1,5,-0.013573527336120605,0.0
pythia,pythia-70m,1,7,-0.06595949828624725,0.0
pythia,pythia-70m,2,1,-0.20352953672409058,0.0
pythia,pythia-70m,2,2,-0.019482553005218506,0.0
pythia,pythia-70m,2,4,0.0173683762550354,-0.08950412273406982
pythia,pythia-70m,2,5,0.0,-0.47077494859695435
pythia,pythia-70m,2,6,-0.18147602677345276,0.0
pythia,pythia-70m,2,7,-0.6693404316902161,0.0
pythia,pythia-70m,3,0,-0.028673529624938965,0.0
pythia,pythia-70m,3,1,-0.11651735007762909,0.0
pythia,pythia-70m,3,2,0.05786597728729248,0.0
pythia,pythia-70m,3,3,-0.063148632645607,0.0
pythia,pythia-70m,3,4,-0.024025291204452515,-0.14823216199874878
pythia,pythia-70m,3,5,-0.008554160594940186,-0.5574000477790833
pythia,pythia-70m,3,6,-0.06535018980503082,-0.19632214307785034
pythia,pythia-70m,3,7,-0.08603633940219879,0.0
pythia,pythia-70m,4,0,-0.07923078536987305,-0.5259249806404114
pythia,pythia-70m,4,1,-0.019203126430511475,-0.47602301836013794
pythia,pythia-70m,4,2,-0.019360899925231934,0.0
pythia,pythia-70m,4,3,-0.00965079665184021,-0.23487693071365356
pythia,pythia-70m,4,4,0.017561286687850952,0.0
pythia,pythia-70m,4,5,0.010137051343917847,-0.2131379246711731
pythia,pythia-70m,4,6,-0.16265425086021423,-0.21394354104995728
pythia,pythia-70m,4,7,0.01151341199874878,0.0
pythia,pythia-70m,5,0,0.005258321762084961,-0.1878109574317932
pythia,pythia-70m,5,1,0.06041601300239563,-0.6885338425636292
pythia,pythia-70m,5,2,-0.0010494887828826904,0.0
pythia,pythia-70m,5,3,0.009290456771850586,0.0
pythia,pythia-70m,5,4,0.0019166171550750732,0.0
pythia,pythia-70m,5,5,0.0038349032402038574,0.0
pythia,pythia-70m,5,6,0.016999483108520508,-0.26485055685043335
pythia,pythia-70m,5,7,0.06199422478675842,-0.23148268461227417
pythia,pythia-70m,6,1,0.0,-0.30598658323287964
pythia,pythia-70m,6,2,0.0,-0.3751377463340759
pythia,pythia-70m,7,0,0.0,-0.12973803281784058
pythia,pythia-70m,7,5,0.0,-0.05703866481781006
pythia,pythia-70m,8,1,0.0,-0.07504862546920776
pythia,pythia-70m,8,3,0.0,-0.04312199354171753
pythia,pythia-70m,8,5,0.0,-0.06279504299163818
pythia,pythia-70m,9,0,0.0,-0.2654035687446594
pythia,pythia-70m,9,3,0.0,-0.13703924417495728
pythia,pythia-70m,9,6,0.0,-0.17614394426345825
pythia,pythia-70m,9,7,0.0,-0.09726327657699585
pythia,pythia-70m,10,0,0.0,-0.044313013553619385
pythia,pythia-70m,10,3,0.0,-0.05015110969543457
pythia,pythia-70m,10,4,0.0,-0.11854797601699829
pythia,pythia-70m,10,5,0.0,-0.04856705665588379
pythia,pythia-70m,10,6,0.0,-0.0758398175239563
pythia,pythia-70m,10,7,0.0,-0.04939943552017212
pythia,pythia-70m,11,0,0.0,-0.06030160188674927
pythia,pythia-70m,11,3,0.0,-0.04616314172744751
pythia,pythia-70m,11,7,0.0,-0.18556827306747437
pythia,pythia-70m,12,1,0.0,-0.050406694412231445
pythia,pythia-70m,12,5,0.0,-0.18337398767471313
pythia,pythia-160m,0,0,-1.4348183870315552,0.0
pythia,pythia-160m,0,1,-0.22753441333770752,0.0
pythia,pythia-160m,0,2,-0.8137136697769165,0.0
pythia,pythia-160m,0,3,-1.0505050420761108,0.0
pythia,pythia-160m,0,4,0.0,-0.3513792157173157
pythia,pythia-160m,0,5,-0.3447052240371704,-0.14769238233566284
pythia,pythia-160m,0,8,-0.6634434461593628,0.0
pythia,pythia-160m,1,0,-0.23155152797698975,-0.17247778177261353
pythia,pythia-160m,1,2,0.0,-0.07461899518966675
pythia,pythia-160m,1,6,-0.45946061611175537,0.0
pythia,pythia-160m,1,8,-0.30325520038604736,0.0
pythia,pythia-160m,1,9,-1.430188775062561,0.0
pythia,pythia-160m,2,0,-0.34077775478363037,0.0
pythia,pythia-160m,2,1,-0.34086310863494873,0.0
pythia,pythia-160m,2,4,-0.6334210634231567,-0.08950412273406982
pythia,pythia-160m,2,5,0.0,-0.47077494859695435
pythia,pythia-160m,2,6,-1.055655837059021,0.0
pythia,pythia-160m,2,7,-0.1368194818496704,0.0
pythia,pythia-160m,2,8,-0.13543105125427246,0.0
pythia,pythia-160m,2,9,-0.10232126712799072,0.0
pythia,pythia-160m,2,11,-1.0247987508773804,0.0
pythia,pythia-160m,3,0,-1.8286436796188354,0.0
pythia,pythia-160m,3,4,-0.6635006666183472,-0.14823216199874878
pythia,pythia-160m,3,5,0.0,-0.5574000477790833
pythia,pythia-160m,3,6,0.0,-0.19632214307785034
pythia,pythia-160m,4,0,0.0,-0.5259249806404114
pythia,pythia-160m,4,1,0.0,-0.47602301836013794
pythia,pythia-160m,4,2,-0.11317896842956543,0.0
pythia,pythia-160m,4,3,0.0,-0.23487693071365356
pythia,pythia-160m,4,5,0.0,-0.2131379246711731
pythia,pythia-160m,4,6,-0.8135761022567749,-0.21394354104995728
pythia,pythia-160m,4,8,-0.7491799592971802,0.0
pythia,pythia-160m,4,11,-0.9735919237136841,0.0
pythia,pythia-160m,5,0,0.0,-0.1878109574317932
pythia,pythia-160m,5,1,0.0,-0.6885338425636292
pythia,pythia-160m,5,3,-0.17262351512908936,0.0
pythia,pythia-160m,5,4,-0.17408668994903564,0.0
pythia,pythia-160m,5,5,-0.13232815265655518,0.0
pythia,pythia-160m,5,6,0.0,-0.26485055685043335
pythia,pythia-160m,5,7,0.0,-0.23148268461227417
pythia,pythia-160m,5,8,-0.6894339323043823,0.0
pythia,pythia-160m,5,10,-0.34071171283721924,0.0
pythia,pythia-160m,6,1,0.0,-0.30598658323287964
pythia,pythia-160m,6,2,0.0,-0.3751377463340759
pythia,pythia-160m,6,6,-0.8683630228042603,0.0
pythia,pythia-160m,6,8,-0.13351058959960938,0.0
pythia,pythia-160m,6,9,-0.3189812898635864,0.0
pythia,pythia-160m,7,0,0.0,-0.12973803281784058
pythia,pythia-160m,7,1,-0.1291487216949463,0.0
pythia,pythia-160m,7,3,-0.47250115871429443,0.0
pythia,pythia-160m,7,5,0.0,-0.05703866481781006
pythia,pythia-160m,7,9,-0.190393328666687,0.0
pythia,pythia-160m,8,1,-0.13074350357055664,-0.07504862546920776
pythia,pythia-160m,8,3,0.0,-0.04312199354171753
pythia,pythia-160m,8,5,0.0,-0.06279504299163818
pythia,pythia-160m,9,0,0.0,-0.2654035687446594
pythia,pythia-160m,9,3,0.0,-0.13703924417495728
pythia,pythia-160m,9,5,-0.3323298692703247,0.0
pythia,pythia-160m,9,6,0.0,-0.17614394426345825
pythia,pythia-160m,9,7,0.0,-0.09726327657699585
pythia,pythia-160m,9,10,-0.16658484935760498,0.0
pythia,pythia-160m,10,0,0.0,-0.044313013553619385
pythia,pythia-160m,10,1,-0.12497437000274658,0.0
pythia,pythia-160m,10,3,0.0,-0.05015110969543457
pythia,pythia-160m,10,4,0.0,-0.11854797601699829
pythia,pythia-160m,10,5,0.0,-0.04856705665588379
pythia,pythia-160m,10,6,0.0,-0.0758398175239563
pythia,pythia-160m,10,7,0.0,-0.04939943552017212
pythia,pythia-160m,11,0,0.0,-0.06030160188674927
pythia,pythia-160m,11,3,0.0,-0.04616314172744751
pythia,pythia-160m,11,6,-0.10425686836242676,0.0
pythia,pythia-160m,11,7,0.0,-0.18556827306747437
pythia,pythia-160m,12,1,0.0,-0.050406694412231445
pythia,pythia-160m,12,5,0.0,-0.18337398767471313
pythia,pythia-410m,0,3,-0.20279979705810547,0.0
pythia,pythia-410m,0,4,0.0,-0.3513792157173157
pythia,pythia-410m,0,5,0.0,-0.14769238233566284
pythia,pythia-410m,0,11,-0.4311950206756592,0.0
pythia,pythia-410m,1,0,0.0,-0.17247778177261353
pythia,pythia-410m,1,2,0.0,-0.07461899518966675
pythia,pythia-410m,1,13,-0.11202883720397949,0.0
pythia,pythia-410m,2,1,-0.1022953987121582,0.0
pythia,pythia-410m,2,4,0.0,-0.08950412273406982
pythia,pythia-410m,2,5,0.0,-0.47077494859695435
pythia,pythia-410m,2,8,-0.10570621490478516,0.0
pythia,pythia-410m,3,4,-0.09803080558776855,-0.14823216199874878
pythia,pythia-410m,3,5,0.0,-0.5574000477790833
pythia,pythia-410m,3,6,0.0,-0.19632214307785034
pythia,pythia-410m,4,0,0.0,-0.5259249806404114
pythia,pythia-410m,4,1,0.0,-0.47602301836013794
pythia,pythia-410m,4,2,-0.32766997814178467,0.0
pythia,pythia-410m,4,3,0.0,-0.23487693071365356
pythia,pythia-410m,4,5,0.0,-0.2131379246711731
pythia,pythia-410m,4,6,-0.2292877435684204,-0.21394354104995728
pythia,pythia-410m,4,11,-0.11530840396881104,0.0
pythia,pythia-410m,4,13,-0.2598797082901001,0.0
pythia,pythia-410m,5,0,0.0,-0.1878109574317932
pythia,pythia-410m,5,1,0.0,-0.6885338425636292
