family,model,layer,head,delta_ioi,delta_anti,abs_delta_ioi,abs_delta_anti,strength,category
pythia,pythia-70m,0,1,-0.1038367301225662,0.0,0.1038367301225662,0.0,0.1038367301225662,ioi_only
pythia,pythia-70m,0,4,-0.1390579342842102,-0.3513792157173157,0.1390579342842102,0.3513792157173157,0.4904371500015259,shared
pythia,pythia-70m,0,5,-0.139420598745346,-0.1476923823356628,0.139420598745346,0.1476923823356628,0.2871129810810088,shared
pythia,pythia-70m,0,7,-0.4192270562052727,0.0,0.4192270562052727,0.0,0.4192270562052727,ioi_only
pythia,pythia-70m,1,0,0.034714251756668,-0.1724777817726135,0.034714251756668,0.1724777817726135,0.2071920335292815,anti_only
pythia,pythia-70m,1,1,-0.1617247760295868,0.0,0.1617247760295868,0.0,0.1617247760295868,ioi_only
pythia,pythia-70m,1,2,-0.0669267475605011,-0.0746189951896667,0.0669267475605011,0.0746189951896667,0.1415457427501678,shared
pythia,pythia-70m,1,3,-0.284780777990818,0.0,0.284780777990818,0.0,0.284780777990818,ioi_only
pythia,pythia-70m,1,4,-0.0282352864742279,0.0,0.0282352864742279,0.0,0.0282352864742279,weak
pythia,pythia-70m,1,5,-0.0135735273361206,0.0,0.0135735273361206,0.0,0.0135735273361206,weak
pythia,pythia-70m,1,7,-0.0659594982862472,0.0,0.0659594982862472,0.0,0.0659594982862472,ioi_only
pythia,pythia-70m,2,1,-0.2035295367240905,0.0,0.2035295367240905,0.0,0.2035295367240905,ioi_only
pythia,pythia-70m,2,2,-0.0194825530052185,0.0,0.0194825530052185,0.0,0.0194825530052185,weak
pythia,pythia-70m,2,4,0.0173683762550354,-0.0895041227340698,0.0173683762550354,0.0895041227340698,0.1068724989891052,anti_only
pythia,pythia-70m,2,5,0.0,-0.4707749485969543,0.0,0.4707749485969543,0.4707749485969543,anti_only
pythia,pythia-70m,2,6,-0.1814760267734527,0.0,0.1814760267734527,0.0,0.1814760267734527,ioi_only
pythia,pythia-70m,2,7,-0.6693404316902161,0.0,0.6693404316902161,0.0,0.6693404316902161,ioi_only
pythia,pythia-70m,3,0,-0.0286735296249389,0.0,0.0286735296249389,0.0,0.0286735296249389,weak
pythia,pythia-70m,3,1,-0.116517350077629,0.0,0.116517350077629,0.0,0.116517350077629,ioi_only
pythia,pythia-70m,3,2,0.0578659772872924,0.0,0.0578659772872924,0.0,0.0578659772872924,ioi_only
pythia,pythia-70m,3,3,-0.063148632645607,0.0,0.063148632645607,0.0,0.063148632645607,ioi_only
pythia,pythia-70m,3,4,-0.0240252912044525,-0.1482321619987487,0.0240252912044525,0.1482321619987487,0.17225745320320118,anti_only
pythia,pythia-70m,3,5,-0.0085541605949401,-0.5574000477790833,0.0085541605949401,0.5574000477790833,0.5659542083740233,anti_only
pythia,pythia-70m,3,6,-0.0653501898050308,-0.1963221430778503,0.0653501898050308,0.1963221430778503,0.26167233288288105,shared
pythia,pythia-70m,3,7,-0.0860363394021987,0.0,0.0860363394021987,0.0,0.0860363394021987,ioi_only
pythia,pythia-70m,4,0,-0.079230785369873,-0.5259249806404114,0.079230785369873,0.5259249806404114,0.6051557660102844,shared
pythia,pythia-70m,4,1,-0.0192031264305114,-0.4760230183601379,0.0192031264305114,0.4760230183601379,0.4952261447906493,anti_only
pythia,pythia-70m,4,2,-0.0193608999252319,0.0,0.0193608999252319,0.0,0.0193608999252319,weak
pythia,pythia-70m,4,3,-0.0096507966518402,-0.2348769307136535,0.0096507966518402,0.2348769307136535,0.24452772736549372,anti_only
pythia,pythia-70m,4,4,0.0175612866878509,0.0,0.0175612866878509,0.0,0.0175612866878509,weak
pythia,pythia-70m,4,5,0.0101370513439178,-0.2131379246711731,0.0101370513439178,0.2131379246711731,0.2232749760150909,anti_only
pythia,pythia-70m,4,6,-0.1626542508602142,-0.2139435410499572,0.1626542508602142,0.2139435410499572,0.3765977919101714,shared
pythia,pythia-70m,4,7,0.0115134119987487,0.0,0.0115134119987487,0.0,0.0115134119987487,weak
pythia,pythia-70m,5,0,0.0052583217620849,-0.1878109574317932,0.0052583217620849,0.1878109574317932,0.19306927919387812,anti_only
pythia,pythia-70m,5,1,0.0604160130023956,-0.6885338425636292,0.0604160130023956,0.6885338425636292,0.7489498555660248,shared
pythia,pythia-70m,5,2,-0.0010494887828826,0.0,0.0010494887828826,0.0,0.0010494887828826,weak
pythia,pythia-70m,5,3,0.0092904567718505,0.0,0.0092904567718505,0.0,0.0092904567718505,weak
pythia,pythia-70m,5,4,0.001916617155075,0.0,0.001916617155075,0.0,0.001916617155075,weak
pythia,pythia-70m,5,5,0.0038349032402038,0.0,0.0038349032402038,0.0,0.0038349032402038,weak
pythia,pythia-70m,5,6,0.0169994831085205,-0.2648505568504333,0.0169994831085205,0.2648505568504333,0.2818500399589538,anti_only
pythia,pythia-70m,5,7,0.0619942247867584,-0.2314826846122741,0.0619942247867584,0.2314826846122741,0.2934769093990325,shared
pythia,pythia-70m,6,1,0.0,-0.3059865832328796,0.0,0.3059865832328796,0.3059865832328796,anti_only
pythia,pythia-70m,6,2,0.0,-0.3751377463340759,0.0,0.3751377463340759,0.3751377463340759,anti_only
pythia,pythia-70m,7,0,0.0,-0.1297380328178405,0.0,0.1297380328178405,0.1297380328178405,anti_only
pythia,pythia-70m,7,5,0.0,-0.05703866481781,0.0,0.05703866481781,0.05703866481781,anti_only
pythia,pythia-70m,8,1,0.0,-0.0750486254692077,0.0,0.0750486254692077,0.0750486254692077,anti_only
pythia,pythia-70m,8,3,0.0,-0.0431219935417175,0.0,0.0431219935417175,0.0431219935417175,weak
pythia,pythia-70m,8,5,0.0,-0.0627950429916381,0.0,0.0627950429916381,0.0627950429916381,anti_only
pythia,pythia-70m,9,0,0.0,-0.2654035687446594,0.0,0.2654035687446594,0.2654035687446594,anti_only
pythia,pythia-70m,9,3,0.0,-0.1370392441749572,0.0,0.1370392441749572,0.1370392441749572,anti_only
pythia,pythia-70m,9,6,0.0,-0.1761439442634582,0.0,0.1761439442634582,0.1761439442634582,anti_only
pythia,pythia-70m,9,7,0.0,-0.0972632765769958,0.0,0.0972632765769958,0.0972632765769958,anti_only
pythia,pythia-70m,10,0,0.0,-0.0443130135536193,0.0,0.0443130135536193,0.0443130135536193,weak
