name,ioistrength_pythia,ioistrength_gpt2,pythia_tokens,gpt2_tokens,delta_tokens,abs_delta_tokens,ioi_diff,abs_ioi_diff
John,3.975258337823968,3.0079822163832817,1,1,0,0,0.9672761214406864,0.9672761214406864
Mary,-0.079607511821546,1.5486756374961452,1,1,0,0,-1.6282831493176912,1.6282831493176912
Alice,-4.969544636575799,0.1264845070086027,2,1,1,1,-5.096029143584402,5.096029143584402
Bob,1.416627011801067,1.5303264040695994,1,1,0,0,-0.11369939226853232,0.11369939226853232
Tom,3.636549447712145,2.305381912934153,1,1,0,0,1.3311675347779923,1.3311675347779923
Sarah,1.8892650165055929,1.2892875922353644,1,1,0,0,0.5999774242702285,0.5999774242702285
David,3.95905089378357,2.8080130501797327,1,1,0,0,1.151037843603837,1.151037843603837
Emma,-3.2571694066649988,-2.380756189948634,2,2,0,0,-0.8764132167163647,0.8764132167163647
James,5.702724820689151,2.21710289152045,1,1,0,0,3.485621929168701,3.485621929168701
Olivia,-2.7694125614668192,-2.580922691445602,3,3,0,0,-0.18848987002121742,0.18848987002121742
Michael,2.6707445194846704,2.648449860121074,1,1,0,0,0.022294659363596203,0.022294659363596203
Sophia,-3.480822117705094,-2.5644828771290027,3,3,0,0,-0.9163392405760913,0.9163392405760913
Robert,1.7599870656666003,2.13399254648309,1,1,0,0,-0.37400548081648965,0.37400548081648965
Isabella,-6.014524550814378,-8.251036204789814,2,2,0,0,2.2365116539754366,2.2365116539754366
William,4.257475426322536,1.2043969003777757,1,1,0,0,3.05307852594476,3.05307852594476
Ava,-8.129727137716193,-5.017405045659919,2,2,0,0,-3.1123220920562744,3.1123220920562744
Joseph,1.575943953112552,0.8217664894304777,1,1,0,0,0.7541774636820744,0.7541774636820744
Mia,-3.8792703026219417,-2.73719374757064,2,2,0,0,-1.1420765550513017,1.1420765550513017
Charles,4.802306626972399,1.295640932886224,1,1,0,0,3.506665694086175,3.506665694086175
Emily,-3.0658548944874813,0.5942958154176411,2,1,1,1,-3.6601507099051225,3.6601507099051225
